Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2004,Stephen Randolph,Diamondbacks,47,12,0,4,3,0,0.00%,25.00%,0.25,0.556,0.417,0.417,0.667,0.459,176,0,1.2,1.3,0.3,1655
2008,Justin Germano,Padres,12,12,0,1,1,0,0.00%,25.00%,0.111,0.667,0.444,0.444,0.556,0.439,176,0,1.1,1.3,0.3,1938
2009,Kyle Lohse,Cardinals,23,45,0,3,2,0,2.20%,15.60%,0,0.267,0.216,0.275,0.216,0.234,37,0,-3.5,4.9,0.3,739
2002,Brandon Duckworth,Phillies,30,59,0,3,4,0,8.50%,18.60%,0.021,0.243,0.188,0.264,0.208,0.225,31,0,-5.1,5.9,0.3,954
2003,Garrett Stephenson,Cardinals,32,55,0,0,2,0,5.50%,32.70%,0,0.346,0.205,0.271,0.205,0.227,31,0,-4.8,5.8,0.3,1185
2007,Bobby Livingston,Reds,11,31,0,3,2,0,6.50%,22.60%,0,0.389,0.28,0.333,0.28,0.285,62,0,-1.6,3.3,0.3,3876
2001,Kevin Tapani,Cubs,29,58,0,1,2,0,1.70%,24.10%,0,0.333,0.24,0.255,0.24,0.223,29,0,-5.4,6.3,0.3,1012824
2006,Enrique Gonzalez,Diamondbacks,23,35,0,3,3,0,0.00%,22.90%,0.031,0.375,0.281,0.281,0.313,0.261,46,0,-2.5,4.2,0.3,2568
2000,Ismael Valdez,- - -,22,33,1,2,3,0,3.00%,30.30%,0.2,0.286,0.2,0.231,0.4,0.268,56,0,-2,3.8,0.3,1283
2009,Javier Vazquez,Braves,37,91,0,6,3,0,3.30%,15.40%,0.044,0.222,0.176,0.211,0.221,0.196,10,0,-10.1,9.9,0.3,801
2006,John Thomson,Braves,18,32,0,1,4,0,0.00%,31.30%,0.067,0.4,0.267,0.267,0.333,0.261,50,0,-2.1,3.8,0.3,453
